Sample ID	Kit ID	sample_location	State
12_P	12	Tail piece	Michigan
12_Y	12	Countertop	Michigan
29_P	29	Tail piece	North Carolina
29_Y	29	Countertop	North Carolina
34_1_P	34	Tail piece	North Carolina
34_1_Y	34	Countertop	North Carolina
34_2_P	34	Tail piece	North Carolina
34_2_Y	34	Countertop	North Carolina
44_P	44	Tail piece	California
44_Y	44	Countertop	California
56_P	56	Tail piece	California
56_Y	56	Countertop	California
58_P	58	Tail piece	California
58_Y	58	Countertop	California
65_P	65	Tail piece	Michigan
65_Y	65	Countertop	Michigan
70_P	70	Tail piece	Georgia
70_Y	70	Countertop	Georgia
8_P	8	Tail piece	North Carolina
8_Y	8	Countertop	North Carolina
