# Constructed from biom file 
#OTU ID	34_1_P	34_1_Y	34_2_P	34_2_Y	12_P	12_Y	29_P	29_Y	44_P	44_Y	56_P	56_Y	58_P	58_Y	65_P	65_Y	70_P	70_Y	8_P	8_Y 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter ursingii	935	248212	503	94	0	33928	255484	71169	78448	274849	119521	0	0	7240	214040	106999	112072	76144	0	283747 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;__	36825	2532	30603	92344	59294	0	66945	22800	428	32381	2000	13171	17076	0	72075	46343	0	87717	56610	29482 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;__	176	152	125	86435	60340	59606	57167	51431	45619	19051	8522	5308	0	12752	0	115295	73836	0	4341	1590 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Diaphorobacter;s__Diaphorobacter nitroreducens	65149	29	18	8	41701	13586	24550	15371	14905	60870	8949	65685	0	35339	20334	23333	28664	0	5450	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	99353	172	6416	83	0	41274	48314	29085	71379	126253	2615	0	75440	0	0	76405	12650	0	35327	19748 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	3323	82672	767	72	21943	37376	6635	47913	12742	35201	66313	39406	8454	68426	62111	44010	31417	0	77041	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;__	5	6	16638	3	22354	16909	2203	0	0	6299	2111	1273	0	3789	0	0	1001	11806	0	9219 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	86852	436	33216	1262	0	28186	51522	42664	34730	4438	0	0	35216	0	10532	20048	105276	3982	39995	33606 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas sp002472915	21	22	24929	2	0	5355	24238	11868	6757	980	0	20337	0	15461	30025	0	14986	2977	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__	7629	974	16206	452	0	2408	0	11378	21770	0	12112	11975	8760	0	5436	4252	10458	3575	13505	3559 
