"Sample_ID","State","mean_sim_same_state","mean_sim_other_states","mean_sim_all_others","sim_percentile"
"34_1_P","North Carolina",0.4153,0.4076,0.4102,50
"34_2_P","North Carolina",0.3943,0.3125,0.3398,10
"12_P","Michigan",0.3638,0.3417,0.3442,20
"29_P","North Carolina",0.3801,0.5187,0.4725,100
"44_P","California",0.4902,0.4576,0.4648,90
"56_P","California",0.3969,0.3858,0.3883,40
"58_P","California",0.3915,0.3772,0.3803,30
"65_P","Michigan",0.3638,0.4302,0.4228,60
"70_P","Georgia",NA,0.4517,0.4517,80
"8_P","North Carolina",0.4508,0.411,0.4242,70
